frame.go_id	frame.Evidance	frame.gene_id
GO:0005975	ISA	Potri.005G251000
GO:0004553	ISA	Potri.005G251000
GO:0008270	ISA	Potri.018G066400
GO:0016787	ISA	Potri.018G066400
GO:0004126	ISA	Potri.018G066400
GO:0003824	ISA	Potri.002G100900
GO:0043169	ISA	Potri.002G100900
GO:0005975	ISA	Potri.002G100900
GO:0004553	ISA	Potri.002G100900
GO:0004672	ISA	Potri.T064100
GO:0005524	ISA	Potri.T064100
GO:0006468	ISA	Potri.T064100
GO:0003700	ISA	Potri.008G113400
GO:0043565	ISA	Potri.008G113400
GO:0046983	ISA	Potri.008G113400
GO:0006355	ISA	Potri.008G113400
GO:0005515	ISA	Potri.014G180800
GO:0047800	ISA	Potri.004G058000
GO:0055114	ISA	Potri.004G058000
GO:2001070	ISA	Potri.002G234500
GO:0005524	ISA	Potri.002G234500
GO:0016301	ISA	Potri.002G234500
GO:0016310	ISA	Potri.002G234500
GO:0003824	ISA	Potri.002G234500
GO:0005975	ISA	Potri.002G234500
GO:0003676	ISA	Potri.001G129700
GO:0005622	ISA	Potri.001G129700
GO:0045735	ISA	Potri.005G224400
GO:0016020	ISA	Potri.002G084500
GO:0055085	ISA	Potri.002G084500
GO:0016491	ISA	Potri.001G167100
GO:0008152	ISA	Potri.001G167100
GO:0055114	ISA	Potri.001G167100
GO:0016020	ISA	Potri.012G129000
GO:0004372	ISA	Potri.017G059300
GO:0006544	ISA	Potri.017G059300
GO:0006563	ISA	Potri.017G059300
GO:0005515	ISA	Potri.006G257900
GO:0005525	ISA	Potri.002G019500
GO:0007264	ISA	Potri.002G019500
GO:0005622	ISA	Potri.002G019500
GO:0005506	ISA	Potri.011G138000
GO:0009055	ISA	Potri.011G138000
GO:0016705	ISA	Potri.011G138000
GO:0020037	ISA	Potri.011G138000
GO:0055114	ISA	Potri.011G138000
GO:0006952	ISA	Potri.006G104100
GO:0009607	ISA	Potri.006G104100
GO:0008270	ISA	Potri.016G136100
GO:0016491	ISA	Potri.016G136100
GO:0055114	ISA	Potri.016G136100
GO:0004672	ISA	Potri.007G032100
GO:0005524	ISA	Potri.007G032100
GO:0006468	ISA	Potri.007G032100
GO:0008270	ISA	Potri.010G107600
GO:0005622	ISA	Potri.010G107600
GO:0006355	ISA	Potri.002G054100
GO:0030528	ISA	Potri.002G054100
GO:0016491	ISA	Potri.008G158300
GO:0055114	ISA	Potri.008G158300
GO:0016616	ISA	Potri.004G175800
GO:0051287	ISA	Potri.004G175800
GO:0008152	ISA	Potri.004G175800
GO:0055114	ISA	Potri.004G175800
GO:0048037	ISA	Potri.004G175800
GO:0016881	ISA	Potri.008G106300
GO:0008601	ISA	Potri.006G247100
GO:0007165	ISA	Potri.006G247100
GO:0000159	ISA	Potri.006G247100
GO:0004672	ISA	Potri.001G411400
GO:0005524	ISA	Potri.001G411400
GO:0006468	ISA	Potri.001G411400
GO:0048544	ISA	Potri.001G411400
GO:0005529	ISA	Potri.001G411400
GO:0004674	ISA	Potri.001G411400
GO:0015299	ISA	Potri.008G140700
GO:0006812	ISA	Potri.008G140700
GO:0055085	ISA	Potri.008G140700
GO:0016021	ISA	Potri.008G140700
GO:0046961	ISA	Potri.013G078700
GO:0015991	ISA	Potri.013G078700
GO:0000221	ISA	Potri.013G078700
GO:0016820	ISA	Potri.013G078700
GO:0016779	ISA	Potri.002G033400
GO:0009058	ISA	Potri.002G033400
GO:0003723	ISA	Potri.018G055300
GO:0000156	ISA	Potri.006G262100
GO:0000160	ISA	Potri.006G262100
GO:0006355	ISA	Potri.006G262100
GO:0003677	ISA	Potri.006G262100
GO:0003677	ISA	Potri.011G059100
GO:0006355	ISA	Potri.011G059100
GO:0009725	ISA	Potri.011G059100
GO:0005634	ISA	Potri.011G059100
GO:0005509	ISA	Potri.002G095600
GO:0005544	ISA	Potri.002G095600
GO:0005524	ISA	Potri.001G466000
GO:0051082	ISA	Potri.001G466000
GO:0006457	ISA	Potri.001G466000
GO:0006950	ISA	Potri.001G466000
GO:0006886	ISA	Potri.001G101400
GO:0016192	ISA	Potri.001G101400
GO:0030117	ISA	Potri.001G101400
GO:0030131	ISA	Potri.001G101400
GO:0005515	ISA	Potri.001G101400
GO:0003924	ISA	Potri.002G171200
GO:0005525	ISA	Potri.002G171200
GO:0022857	ISA	Potri.008G010600
GO:0055085	ISA	Potri.008G010600
GO:0016021	ISA	Potri.008G010600
GO:0016020	ISA	Potri.006G252500
GO:0055085	ISA	Potri.006G252500
GO:0005215	ISA	Potri.016G024900
GO:0006810	ISA	Potri.016G024900
GO:0016020	ISA	Potri.016G024900
GO:0008060	ISA	Potri.003G092300
GO:0008270	ISA	Potri.003G092300
GO:0032312	ISA	Potri.003G092300
GO:0004553	ISA	Potri.010G211000
GO:0004563	ISA	Potri.010G211000
GO:0005975	ISA	Potri.010G211000
GO:0003746	ISA	Potri.004G226300
GO:0006414	ISA	Potri.004G226300
GO:0005853	ISA	Potri.004G226300
GO:0005515	ISA	Potri.004G226300
GO:0005634	ISA	Potri.018G064100
GO:0004842	ISA	Potri.006G085700
GO:0008270	ISA	Potri.006G085700
GO:0004089	ISA	Potri.001G348900
GO:0008270	ISA	Potri.001G348900
GO:0015976	ISA	Potri.001G348900
GO:0005215	ISA	Potri.005G169300
GO:0006810	ISA	Potri.005G169300
GO:0055085	ISA	Potri.005G169300
GO:0016021	ISA	Potri.005G169300
GO:0016787	ISA	Potri.T063800
GO:0006541	ISA	Potri.T063800
GO:0016491	ISA	Potri.006G167200
GO:0055114	ISA	Potri.006G167200
GO:0010181	ISA	Potri.006G167200
GO:0051258	ISA	Potri.013G056800
GO:0043234	ISA	Potri.013G056800
GO:0003924	ISA	Potri.013G056800
GO:0005525	ISA	Potri.013G056800
GO:0006184	ISA	Potri.013G056800
GO:0005874	ISA	Potri.013G056800
GO:0007017	ISA	Potri.013G056800
GO:0006355	ISA	Potri.014G106300
GO:0030528	ISA	Potri.014G106300
GO:0005515	ISA	Potri.015G059000
GO:0004618	ISA	Potri.010G171600
GO:0006096	ISA	Potri.010G171600
GO:0005216	ISA	Potri.015G019100
GO:0006811	ISA	Potri.015G019100
GO:0055085	ISA	Potri.015G019100
GO:0016020	ISA	Potri.015G019100
GO:0004672	ISA	Potri.012G094600
GO:0005524	ISA	Potri.012G094600
GO:0006468	ISA	Potri.012G094600
GO:0005524	ISA	Potri.015G093200
GO:0019205	ISA	Potri.015G093200
GO:0006139	ISA	Potri.015G093200
GO:0005515	ISA	Potri.014G035700
GO:0043531	ISA	Potri.014G035700
GO:0005524	ISA	Potri.014G035700
GO:0006915	ISA	Potri.014G035700
GO:0004519	ISA	Potri.009G106800
GO:0003677	ISA	Potri.T146000
GO:0008270	ISA	Potri.T146000
GO:0006355	ISA	Potri.T146000
GO:0005215	ISA	Potri.001G286600
GO:0006810	ISA	Potri.001G286600
GO:0016020	ISA	Potri.001G286600
GO:0055085	ISA	Potri.001G286600
GO:0016021	ISA	Potri.001G286600
GO:0003735	ISA	Potri.005G092500
GO:0006412	ISA	Potri.005G092500
GO:0005622	ISA	Potri.005G092500
GO:0005840	ISA	Potri.005G092500
GO:0016758	ISA	Potri.009G078400
GO:0008152	ISA	Potri.009G078400
GO:0005198	ISA	Potri.001G408200
GO:0004672	ISA	Potri.003G084100
GO:0005524	ISA	Potri.003G084100
GO:0006468	ISA	Potri.003G084100
GO:0006855	ISA	Potri.004G185200
GO:0015238	ISA	Potri.004G185200
GO:0015297	ISA	Potri.004G185200
GO:0016020	ISA	Potri.004G185200
GO:0055085	ISA	Potri.004G185200
GO:0016616	ISA	Potri.017G092000
GO:0051287	ISA	Potri.017G092000
GO:0055114	ISA	Potri.017G092000
GO:0006888	ISA	Potri.003G183400
GO:0005622	ISA	Potri.003G183400
GO:0016491	ISA	Potri.014G144700
GO:0055114	ISA	Potri.014G144700
GO:0003676	ISA	Potri.002G017600
GO:0005515	ISA	Potri.011G168800
GO:0003677	ISA	Potri.011G168800
GO:0005622	ISA	Potri.011G168800
GO:0008270	ISA	Potri.008G123300
GO:0003700	ISA	Potri.005G170500
GO:0043565	ISA	Potri.005G170500
GO:0046983	ISA	Potri.005G170500
GO:0006355	ISA	Potri.005G170500
GO:0005515	ISA	Potri.002G170600
GO:0046873	ISA	Potri.010G077900
GO:0030001	ISA	Potri.010G077900
GO:0055085	ISA	Potri.010G077900
GO:0016020	ISA	Potri.010G077900
GO:0004806	ISA	Potri.002G159200
GO:0006629	ISA	Potri.002G159200
GO:0004091	ISA	Potri.002G159200
GO:0016042	ISA	Potri.002G159200
GO:0016491	ISA	Potri.014G177700
GO:0055114	ISA	Potri.014G177700
GO:0005507	ISA	Potri.014G177700
GO:0005515	ISA	Potri.016G043900
GO:0004143	ISA	Potri.008G002100
GO:0007205	ISA	Potri.008G002100
GO:0004672	ISA	Potri.009G168600
GO:0005524	ISA	Potri.009G168600
GO:0006468	ISA	Potri.009G168600
GO:0016773	ISA	Potri.009G168600
GO:0009103	ISA	Potri.009G168600
GO:0016020	ISA	Potri.009G168600
GO:0004672	ISA	Potri.001G240400
GO:0005524	ISA	Potri.001G240400
GO:0006468	ISA	Potri.001G240400
GO:0016740	ISA	Potri.003G187100
GO:0030170	ISA	Potri.003G187100
GO:0005524	ISA	Potri.009G147600
GO:0008033	ISA	Potri.009G147600
GO:0016301	ISA	Potri.009G147600
GO:0001906	ISA	Potri.009G147600
GO:0016021	ISA	Potri.011G103600
GO:0015979	ISA	Potri.011G142200
GO:0009523	ISA	Potri.011G142200
GO:0009654	ISA	Potri.011G142200
GO:0042651	ISA	Potri.011G142200
GO:0004659	ISA	Potri.018G090700
GO:0016021	ISA	Potri.018G090700
GO:0005215	ISA	Potri.018G152100
GO:0006810	ISA	Potri.018G152100
GO:0016020	ISA	Potri.018G152100
GO:0005515	ISA	Potri.001G264500
GO:0004672	ISA	Potri.001G102900
GO:0005524	ISA	Potri.001G102900
GO:0006468	ISA	Potri.001G102900
GO:0004553	ISA	Potri.009G012400
GO:0005975	ISA	Potri.009G012400
GO:0004565	ISA	Potri.009G012400
GO:0009341	ISA	Potri.009G012400
GO:0004871	ISA	Potri.016G003700
GO:0009416	ISA	Potri.016G003700
GO:0008234	ISA	Potri.006G141700
GO:0006508	ISA	Potri.006G141700
GO:0046873	ISA	Potri.008G096200
GO:0030001	ISA	Potri.008G096200
GO:0055085	ISA	Potri.008G096200
GO:0016020	ISA	Potri.008G096200
GO:0004553	ISA	Potri.003G038500
GO:0005975	ISA	Potri.003G038500
GO:0005529	ISA	Potri.003G038500
GO:0004565	ISA	Potri.003G038500
GO:0009341	ISA	Potri.003G038500
GO:0003677	ISA	Potri.007G106100
GO:0046872	ISA	Potri.015G003800
GO:0030001	ISA	Potri.015G003800
GO:0005515	ISA	Potri.014G147000
GO:0016881	ISA	Potri.005G118600
GO:0003676	ISA	Potri.T069700
GO:0005622	ISA	Potri.T069700
GO:0008408	ISA	Potri.T069700
GO:0006139	ISA	Potri.T069700
GO:0006396	ISA	Potri.T069700
GO:0000176	ISA	Potri.T069700
GO:0005506	ISA	Potri.002G126100
GO:0009055	ISA	Potri.002G126100
GO:0016705	ISA	Potri.002G126100
GO:0020037	ISA	Potri.002G126100
GO:0055114	ISA	Potri.002G126100
GO:0003700	ISA	Potri.018G091600
GO:0006355	ISA	Potri.018G091600
GO:0006355	ISA	Potri.008G180700
GO:0005515	ISA	Potri.008G180700
GO:0003913	ISA	Potri.003G060000
GO:0006281	ISA	Potri.003G060000
GO:0055085	ISA	Potri.009G079500
GO:0005215	ISA	Potri.012G077400
GO:0006810	ISA	Potri.012G077400
GO:0055085	ISA	Potri.012G077400
GO:0016020	ISA	Potri.012G077400
GO:0004045	ISA	Potri.019G050100
GO:0006412	ISA	Potri.019G050100
GO:0015450	ISA	Potri.001G387600
GO:0015031	ISA	Potri.001G387600
GO:0016020	ISA	Potri.001G387600
GO:0005515	ISA	Potri.016G005300
GO:0007067	ISA	Potri.001G439000
GO:0008146	ISA	Potri.011G048100
GO:0004672	ISA	Potri.019G109400
GO:0005524	ISA	Potri.019G109400
GO:0006468	ISA	Potri.019G109400
GO:0005515	ISA	Potri.019G109400
GO:0005506	ISA	Potri.006G022200
GO:0009055	ISA	Potri.006G022200
GO:0016705	ISA	Potri.006G022200
GO:0020037	ISA	Potri.006G022200
GO:0055114	ISA	Potri.006G022200
GO:0009116	ISA	Potri.005G198400
GO:0004672	ISA	Potri.004G171500
GO:0005524	ISA	Potri.004G171500
GO:0006468	ISA	Potri.004G171500
GO:0003824	ISA	Potri.002G053000
GO:0050662	ISA	Potri.002G053000
GO:0044237	ISA	Potri.002G053000
GO:0016760	ISA	Potri.006G251900
GO:0030244	ISA	Potri.006G251900
GO:0016020	ISA	Potri.006G251900
GO:0005524	ISA	Potri.004G034700
GO:0016887	ISA	Potri.004G034700
GO:0042626	ISA	Potri.004G034700
GO:0006810	ISA	Potri.004G034700
GO:0055085	ISA	Potri.004G034700
GO:0016021	ISA	Potri.004G034700
GO:0005515	ISA	Potri.011G103100
GO:0004427	ISA	Potri.007G073300
GO:0009678	ISA	Potri.007G073300
GO:0015992	ISA	Potri.007G073300
GO:0016020	ISA	Potri.007G073300
GO:0043565	ISA	Potri.015G052800
GO:0005622	ISA	Potri.015G052800
GO:0016021	ISA	Potri.001G060900
GO:0003924	ISA	Potri.006G053000
GO:0005525	ISA	Potri.006G053000
GO:0007264	ISA	Potri.006G053000
GO:0005622	ISA	Potri.006G053000
GO:0004672	ISA	Potri.001G442000
GO:0005524	ISA	Potri.001G442000
GO:0006468	ISA	Potri.001G442000
GO:0005529	ISA	Potri.001G442000
GO:0003700	ISA	Potri.004G158200
GO:0043565	ISA	Potri.004G158200
GO:0046983	ISA	Potri.004G158200
GO:0006355	ISA	Potri.004G158200
GO:0016758	ISA	Potri.012G068300
GO:0016021	ISA	Potri.012G068300
GO:0005515	ISA	Potri.001G262700
GO:0043531	ISA	Potri.014G003200
GO:0005524	ISA	Potri.014G003200
GO:0006915	ISA	Potri.014G003200
GO:0005516	ISA	Potri.004G125100
GO:0016747	ISA	Potri.015G100800
GO:0045454	ISA	Potri.019G031900
GO:0006662	ISA	Potri.019G031900
GO:0009055	ISA	Potri.019G031900
GO:0015035	ISA	Potri.019G031900
GO:0004672	ISA	Potri.017G097800
GO:0005524	ISA	Potri.017G097800
GO:0006468	ISA	Potri.017G097800
GO:0016538	ISA	Potri.004G217500
GO:0007049	ISA	Potri.004G217500
GO:0000287	ISA	Potri.016G120100
GO:0030976	ISA	Potri.016G120100
GO:0003824	ISA	Potri.016G120100
GO:0009055	ISA	Potri.001G186800
GO:0051536	ISA	Potri.001G186800
GO:0031072	ISA	Potri.001G057200
GO:0003677	ISA	Potri.001G104300
GO:0004672	ISA	Potri.016G051600
GO:0005524	ISA	Potri.016G051600
GO:0006468	ISA	Potri.016G051600
GO:0005515	ISA	Potri.016G051600
GO:0048037	ISA	Potri.013G031300
GO:0005515	ISA	Potri.001G057800
GO:0003677	ISA	Potri.001G057800
GO:0005634	ISA	Potri.001G057800
GO:0005516	ISA	Potri.001G057800
GO:0006355	ISA	Potri.001G057800
GO:0030528	ISA	Potri.001G057800
GO:0003700	ISA	Potri.006G133200
GO:0043565	ISA	Potri.006G133200
GO:0006355	ISA	Potri.006G133200
GO:0006810	ISA	Potri.003G180100
GO:0005643	ISA	Potri.003G180100
GO:0003735	ISA	Potri.009G158700
GO:0005622	ISA	Potri.009G158700
GO:0005840	ISA	Potri.009G158700
GO:0006412	ISA	Potri.009G158700
GO:0008234	ISA	Potri.002G005700
GO:0006508	ISA	Potri.002G005700
GO:0003855	ISA	Potri.014G135500
GO:0004764	ISA	Potri.014G135500
GO:0055114	ISA	Potri.014G135500
GO:0005737	ISA	Potri.014G135500
GO:0005515	ISA	Potri.013G079600
GO:0006364	ISA	Potri.013G079600
GO:0032040	ISA	Potri.013G079600
GO:0043565	ISA	Potri.010G138300
GO:0004252	ISA	Potri.011G083300
GO:0006508	ISA	Potri.011G083300
GO:0004866	ISA	Potri.019G124600
GO:0003777	ISA	Potri.005G150800
GO:0005524	ISA	Potri.005G150800
GO:0007018	ISA	Potri.005G150800
GO:0005515	ISA	Potri.014G069600
GO:0005515	ISA	Potri.011G013900
GO:0043531	ISA	Potri.011G013900
GO:0007165	ISA	Potri.011G013900
GO:0005622	ISA	Potri.011G013900
GO:0005524	ISA	Potri.011G013900
GO:0006915	ISA	Potri.011G013900
GO:0004888	ISA	Potri.011G013900
GO:0031224	ISA	Potri.011G013900
GO:0045087	ISA	Potri.011G013900
GO:0004672	ISA	Potri.004G133500
GO:0005524	ISA	Potri.004G133500
GO:0006468	ISA	Potri.004G133500
GO:0005515	ISA	Potri.001G178000
GO:0016491	ISA	Potri.008G166800
GO:0055114	ISA	Potri.008G166800
GO:0016616	ISA	Potri.008G166800
GO:0006108	ISA	Potri.008G166800
GO:0016615	ISA	Potri.008G166800
GO:0003677	ISA	Potri.014G106800
GO:0003677	ISA	Potri.001G036000
GO:0022857	ISA	Potri.013G115200
GO:0055085	ISA	Potri.013G115200
GO:0016021	ISA	Potri.013G115200
GO:0004672	ISA	Potri.004G209700
GO:0005524	ISA	Potri.004G209700
GO:0006468	ISA	Potri.004G209700
GO:0006355	ISA	Potri.004G209700
GO:0005515	ISA	Potri.004G209700
GO:0006629	ISA	Potri.007G040300
GO:0003924	ISA	Potri.006G275500
GO:0005525	ISA	Potri.006G275500
GO:0016787	ISA	Potri.008G166300
GO:0004185	ISA	Potri.013G124700
GO:0006508	ISA	Potri.013G124700
GO:0003723	ISA	Potri.014G045000
GO:0016491	ISA	Potri.014G080100
GO:0008152	ISA	Potri.014G080100
GO:0004672	ISA	Potri.004G231500
GO:0005524	ISA	Potri.004G231500
GO:0006468	ISA	Potri.004G231500
GO:0005515	ISA	Potri.004G231500
